Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
"69bc2c23922da599c89baae1,5b717948f736c000012b4f1e,AWAITING REVIEW,Not Applicable,2026-03-19T17:02:31.362000Z,2026-03-19T17:22:34.897000Z,,2026-03-19T17:22:35.325245Z,1204.0,CB1C6FHQ,126,""English, Spanish"",33,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)"
69bc37a00361d5a7bad1d144,5e5012ec47808406305d6a0d,AWAITING REVIEW,Not Applicable,2026-03-19T17:51:33.951000Z,2026-03-19T18:16:56.608000Z,,2026-03-19T18:16:57.774061Z,1523.0,CB1C6FHQ.,5975,English,62,Male,White,United Kingdom,United Kingdom,Ireland,English,No,DATA_EXPIRED
69bd013c1ed5831662bf311e,698093a6ccef1114e376cfe5,AWAITING REVIEW,Not Applicable,2026-03-20T08:11:40.937000Z,2026-03-20T08:44:45.307000Z,,2026-03-20T08:44:45.778077Z,1985.0,CB1C6FHQ.,62,English,25,Female,Asian,India,India,India,English,No,Full-Time
69bd013ef91ea4eca8105780,697a4bca3a9b41997e03bdaf,AWAITING REVIEW,Not Applicable,2026-03-20T08:19:02.783000Z,2026-03-20T09:00:26.129000Z,,2026-03-20T09:00:26.519946Z,2484.0,CB1C6FHQ,36,English,24,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
69bd016439dbce8a83cdc2c3,69aac33601aaa14cc80f3463,AWAITING REVIEW,Not Applicable,2026-03-20T08:12:41.167000Z,2026-03-20T08:39:37.369000Z,,2026-03-20T08:39:37.777302Z,1617.0,CB1C6FHQ,32,English,41,Female,White,Canada,Canada,Canada,English,No,Part-Time
"69bd022dcd4371f506ddba13,6980b650c1276bf2edf0feb6,AWAITING REVIEW,Not Applicable,2026-03-20T08:15:52.216000Z,2026-03-20T08:44:33.051000Z,,2026-03-20T08:44:33.404770Z,1721.0,CB1C6FHQ,177,""Arabic, English, French"",31,Male,Mixed,Egypt,Egypt,Egypt,Arabic,No,Full-Time"
69bd033b78b4661dadc391e6,6917764312f1d23b8fba53df,AWAITING REVIEW,Not Applicable,2026-03-20T08:20:15.607000Z,2026-03-20T09:03:32.518000Z,,2026-03-20T09:03:32.873465Z,2597.0,CB1C6FHQ,109,English,27,Female,White,New Zealand,New Zealand,New Zealand,English,No,Full-Time
69bd0375f2c883c544013f13,65c347be7d456f4e0902823d,AWAITING REVIEW,Not Applicable,2026-03-20T08:21:25.043000Z,2026-03-20T09:05:50.796000Z,,2026-03-20T09:05:51.199782Z,2666.0,CB1C6FHQ,1794,English,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69bd08afe8f5894a4b590f6b,66e47724a2be5c247faf28cf,AWAITING REVIEW,Not Applicable,2026-03-20T08:43:30.679000Z,2026-03-20T09:05:02.429000Z,,2026-03-20T09:05:04.651309Z,1292.0,CB1C6FHQ,250,English,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
"69bd0943aa8c0fae355a0c3c,697cf77974b398d960ae50a0,AWAITING REVIEW,Not Applicable,2026-03-20T08:51:08.110000Z,2026-03-20T09:09:14.547000Z,,2026-03-20T09:09:14.921728Z,1087.0,CB1C6FHQ,9,""English, French"",56,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time"
69bd0d06dfdbe6dbc5c6fc82,6658b1a747c3b7e6e7d4a63e,AWAITING REVIEW,Not Applicable,2026-03-20T09:02:07.280000Z,2026-03-20T09:21:47.770000Z,,2026-03-20T09:21:48.131711Z,1181.0,CB1C6FHQ,590,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Due to start a new job within the next month
"69bd0fdb7b3fad9fd563cf87,696e47bf9b243828bfa08c9b,AWAITING REVIEW,Not Applicable,2026-03-20T09:14:19.778000Z,2026-03-20T09:35:28.710000Z,,2026-03-20T09:35:29.084148Z,1269.0,CB1C6FHQ,8,""Dutch, English"",31,Male,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time"
"69bd107109c8eaf81752ab85,697faa91c82f7ef8c61b9a7c,AWAITING REVIEW,Not Applicable,2026-03-20T09:16:38.413000Z,2026-03-20T09:46:30.435000Z,,2026-03-20T09:46:30.798332Z,1793.0,CB1C6FHQ,9,""Romanian, English, Russian, French, Danish"",23,Male,White,Moldova,Denmark,Moldova,Romanian,Yes,Full-Time"
69bd112144b911750a0e4d20,6965eeb5f8be58a5dee0a2ee,AWAITING REVIEW,Not Applicable,2026-03-20T09:19:33.004000Z,2026-03-20T09:35:54.612000Z,,2026-03-20T09:35:56.482233Z,982.0,CB1C6FHQ,123,English,26,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
"69bd13b20ad674da48aac541,6630ec10efe9f6624eb24482,AWAITING REVIEW,Not Applicable,2026-03-20T09:30:33.558000Z,2026-03-20T09:55:21.921000Z,,2026-03-20T09:55:22.261936Z,1489.0,CB1C6FHQ,1747,""Italian, English"",51,Female,White,Italy,Italy,Italy,Italian,No,DATA_EXPIRED"
69bd152a4d2b698069ce3323,5c77e56ad5dd7600016c00d3,AWAITING REVIEW,Not Applicable,2026-03-20T09:43:45.599000Z,2026-03-20T10:14:50.679000Z,,2026-03-20T10:14:51.085959Z,1866.0,CB1C6FHQ.,1265,English,36,Female,Mixed,Estonia,Estonia,Estonia,Estonian,No,Full-Time
"69bd17836b795fd00659ff07,698897de878364b4ce4a0774,AWAITING REVIEW,Not Applicable,2026-03-20T09:46:58.365000Z,2026-03-20T10:16:25.854000Z,,2026-03-20T10:16:26.214042Z,1768.0,CB1C6FHQ,17,""English, Russian, Ukrainian"",27,Male,White,Poland,Poland,Poland,Polish,No,Full-Time"
"69bd19b51cd721ebf2818afd,64dd2b49967b465acf024816,AWAITING REVIEW,Not Applicable,2026-03-20T09:58:12.981000Z,2026-03-20T10:25:27.079000Z,,2026-03-20T10:25:27.438474Z,1635.0,CB1C6FHQ,503,""English, Hindi"",48,Male,Asian,India,New Zealand,New Zealand,English,No,Other"
69bd22ffcfddd2d42b02674b,6972d1215347317face5b175,AWAITING REVIEW,Not Applicable,2026-03-20T10:35:48.100000Z,2026-03-20T11:16:37.165000Z,,2026-03-20T11:16:37.559826Z,2450.0,CB1C6FHQ,104,English,51,Female,White,Australia,Australia,Australia,English,Yes,Full-Time
69bd24050cc4a8fc04596619,69260e54b8c2601b89d47993,AWAITING REVIEW,Not Applicable,2026-03-20T10:42:39.629000Z,2026-03-20T11:27:41.824000Z,,2026-03-20T11:27:42.194371Z,2703.0,CB1C6FHQ,72,English,30,Male,White,Canada,Canada,Canada,English,No,Full-Time
"69bd351d89add5c876c90678,651ac08f227732e907b4bc76,AWAITING REVIEW,Not Applicable,2026-03-20T11:53:07.758000Z,2026-03-20T12:11:23.144000Z,,2026-03-20T12:11:23.524174Z,1096.0,CB1C6FHQ,352,""Dutch, English"",37,Male,White,Belgium,Switzerland,Belgium,Dutch,No,Full-Time"
69bd3c08e6bca9d37390ee96,668d382ea3dc675995db9ca9,AWAITING REVIEW,Not Applicable,2026-03-20T12:22:37.731000Z,2026-03-20T12:36:57.309000Z,,2026-03-20T12:36:57.687077Z,860.0,CB1C6FHQ.,694,English,68,Female,White,United Kingdom,United States,United Kingdom,English,No,Part-Time
"69bd3f2723ae24965bbf3cb7,6155b8be124d588312f301e0,AWAITING REVIEW,Not Applicable,2026-03-20T12:36:01.063000Z,2026-03-20T13:00:49.720000Z,,2026-03-20T13:00:50.067125Z,1489.0,CB1C6FHQ,949,""English, French, German"",30,Male,White,Switzerland,Switzerland,Switzerland,German,No,Full-Time"
69bd406dc1259b466f4c5e92,69aa1de4c116eb95cf2e345b,AWAITING REVIEW,Not Applicable,2026-03-20T12:41:41.122000Z,2026-03-20T13:18:30.239000Z,,2026-03-20T13:18:30.744217Z,2210.0,CB1C6FHQ,157,English,37,Female,Asian,United States,United States,United States,English,No,Full-Time
69bd40a7962d22b05f7e95ab,65f079d950ec7745ae73f277,AWAITING REVIEW,Not Applicable,2026-03-20T12:42:19.820000Z,2026-03-20T13:05:00.663000Z,,2026-03-20T13:05:01.063473Z,1361.0,CB1C6FHQ,3658,English,44,Male,White,United States,United States,United States,English,No,Full-Time
"69bd4159d6e837dfe48ae778,6983523de5ca91ff58823247,AWAITING REVIEW,Not Applicable,2026-03-20T12:45:19.834000Z,2026-03-20T13:09:49.410000Z,,2026-03-20T13:09:49.851396Z,1470.0,CB1C6FHQ,36,""English, Romanian"",29,Male,White,Romania,Romania,Romania,Romanian,Yes,Full-Time"
"69bd42827acbb81cf9771dcd,5d36e5a972282e0019605fa0,AWAITING REVIEW,Not Applicable,2026-03-20T12:50:12.288000Z,2026-03-20T13:15:27.470000Z,,2026-03-20T13:15:27.852237Z,1516.0,CB1C6FHQ,2587,""English, French, German, Polish"",33,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time"
69bc2046b9b238061cc35a7b,67f7935fdb24bf8465f4dfa6,RETURNED,Not Applicable,2026-03-19T16:11:57.339000Z,,,,,,407,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc224a03b3fa753e303801,5775874455fb780001d7f1d5,RETURNED,Not Applicable,2026-03-19T16:20:29.633000Z,,,,,,2558,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc2cab01a6a79d23673e79,6734e9c17874e23522a19bc1,RETURNED,Not Applicable,2026-03-19T17:06:16.734000Z,,,,,,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc31a1f43c3b351a2e9bde,683e030de681fa7247b64efe,RETURNED,Not Applicable,2026-03-19T17:30:43.656000Z,,,,,,14,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc34ea2dd2771d8393e84f,6724c03fe7da66e904cd81e1,RETURNED,Not Applicable,2026-03-19T17:40:03.701000Z,,,,,,142,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
"69bd0134f1c952d68d7d8ded,66d995ce89dd6ac425730bc1,TIMED-OUT,Not Applicable,2026-03-20T08:11:40.779000Z,,,,23721.0,,262,""Arabic, Chinese, Dutch, English, French, German, Indonesian, Korean, Norwegian"",27,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time"
69bd016782ecf296edcc07c1,60f6846c5e28b2071cb71f1a,RETURNED,Not Applicable,2026-03-20T08:12:26.033000Z,,,,,,1239,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd03284b9b726840cc0788,6159f89455d1810d6cc8c86b,RETURNED,Not Applicable,2026-03-20T08:19:55.831000Z,,,,,,2703,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd06a35ab7b6046d013ab1,60325f7577ccb72319bf3c63,RETURNED,Not Applicable,2026-03-20T08:34:46.807000Z,,,,,,1917,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd09a573e404ef6e971f7f,60ede71b5261321901a2a31c,TIMED-OUT,Not Applicable,2026-03-20T08:47:38.037000Z,,,,21564.0,,2062,English,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69bd0e14e2d1c95333e827dd,614851420684860d885f8b29,RETURNED,Not Applicable,2026-03-20T09:06:32.817000Z,,,,,,871,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd122cf1d34f2fe7e26c0d,63eb2becc8df9ebd3464ee30,RETURNED,Not Applicable,2026-03-20T09:26:53.716000Z,,,,,,708,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd15113540ef9a70249ef2,6151f20d06757e43aa1f54f9,RETURNED,Not Applicable,2026-03-20T09:36:20.938000Z,,,,,,1557,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd1c8bbc62258cedecb53e,6741c24582a0d15a453a22ed,RETURNED,Not Applicable,2026-03-20T10:08:25.363000Z,,,,,,40,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd20e6a4ddcc2d152b5ae2,5ebc6f18c323480b94409c78,RETURNED,Not Applicable,2026-03-20T10:36:17.594000Z,,,,,,1722,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd23a27fa1eb3b9300b6db,5ffcd83b5991d41cc6d5cb40,TIMED-OUT,Not Applicable,2026-03-20T10:38:34.335000Z,,,,14908.0,,547,English,38,Female,White,Canada,Canada,Canada,English,No,Part-Time
69bd2632c6bdd7cfbe0e3a99,5cb10f887b361b0019b24924,RETURNED,Not Applicable,2026-03-20T10:49:46.271000Z,,,,,,626,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd277d1fc93e31fe840bde,62c7675f57c59d78336f7386,RETURNED,Not Applicable,2026-03-20T10:55:02.407000Z,,,,,,3963,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd3b707448414de8460e5a,5f7a47f48d97331336319204,RETURNED,Not Applicable,2026-03-20T12:20:05.977000Z,,,,,,317,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bd3f90989e744a4912069d,5edd1cfb9a2ae09ff1250c9c,RETURNED,Not Applicable,2026-03-20T12:37:36.819000Z,,,,,,1815,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
